no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.26,1.31
3,CEREALES,PAN FRANCÉS,460 gms,173,7.18,2.70
4,CEREALES,PAN DULCE,460 gms,216,6.62,3.11
5,CEREALES,FIDEOS,230 gms,62,4.41,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",4.08,16.00
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.15,6.24
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.70,3.67
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.38,3.94
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.53,4.17
11,CARNES,EMBUTIDOS,460 gms,61,12.63,1.67
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.55,2.24
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.41,2.86
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.10,1.62
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.89,1.78
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.39,2.52
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.94,2.16
18,FRUTAS,AGUACATES,460 gms,104,8.97,2.03
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.48,1.41
20,FRUTAS,PLÁTANOS,460 gms,207,2.60,1.17
21,FRUTAS,PIÑAS,460 gms,186,2.62,1.06
22,FRUTAS,SANDIAS,460 gms,214,2.01,0.94
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.08,1.44
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.17,1.93
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.81,0.78
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,3.30,1.03
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,3.69,0.88
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.50,3.91
29,AZÚCAR,AZÚCAR,460 gms,409,3.16,2.81
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.88,1.02
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.57,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.11,3.84
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.33,2.31
