no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.96,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.36,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.24,2.72
4,CEREALES,PAN DULCE,460 gms,216,6.73,3.16
5,CEREALES,FIDEOS,230 gms,62,4.49,1.21
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.63,14.24
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.11,6.23
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.64,3.65
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.38,3.94
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.47,4.15
11,CARNES,EMBUTIDOS,460 gms,61,12.66,1.68
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.66,2.25
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.37,2.85
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.85,1.61
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.73,1.75
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.31,2.51
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.97,2.16
18,FRUTAS,AGUACATES,460 gms,104,8.61,1.95
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.47,1.41
20,FRUTAS,PLÁTANOS,460 gms,207,2.69,1.21
21,FRUTAS,PIÑAS,460 gms,186,2.70,1.09
22,FRUTAS,SANDIAS,460 gms,214,2.26,1.05
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.39,1.55
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.56,2.28
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.38,0.90
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,3.32,1.04
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,3.69,0.88
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.51,3.92
29,AZÚCAR,AZÚCAR,460 gms,409,3.15,2.80
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.13,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.36,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.42,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.36,3.87
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.36,2.32
