no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.99,1.75
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.43,1.32
3,CEREALES,PAN FRANCÉS,460 gms,173,7.21,2.71
4,CEREALES,PAN DULCE,460 gms,216,6.68,3.14
5,CEREALES,FIDEOS,230 gms,62,4.46,1.20
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.92,15.37
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.12,6.24
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.56,3.64
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.48,3.96
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.41,4.13
11,CARNES,EMBUTIDOS,460 gms,61,12.52,1.66
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.79,2.26
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.44,2.87
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.62,1.59
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.78,1.76
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.47,2.54
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.99,2.17
18,FRUTAS,AGUACATES,460 gms,104,8.24,1.86
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.49,1.42
20,FRUTAS,PLÁTANOS,460 gms,207,2.74,1.23
21,FRUTAS,PIÑAS,460 gms,186,2.68,1.08
22,FRUTAS,SANDIAS,460 gms,214,2.39,1.11
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.24,1.49
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.25,2.00
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.22,0.86
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.18,1.00
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.72,0.89
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.54,3.94
29,AZÚCAR,AZÚCAR,460 gms,409,3.18,2.83
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.05,1.04
31,MISCELÁNEA,SAL,115 gms,45,0.38,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.34,0.75
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,41.84,3.82
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.35,2.32
