no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.07,1.77
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.56,1.34
3,CEREALES,PAN FRANCÉS,460 gms,173,7.16,2.69
4,CEREALES,PAN DULCE,460 gms,216,6.80,3.19
5,CEREALES,FIDEOS,230 gms,62,4.35,1.17
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.55,13.92
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.40,6.08
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.45,3.61
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.19,3.91
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.40,4.12
11,CARNES,EMBUTIDOS,460 gms,61,12.63,1.67
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.88,2.26
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.70,2.94
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,22.87,1.54
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.98,1.80
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,13.40,2.73
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.96,2.16
18,FRUTAS,AGUACATES,460 gms,104,7.55,1.71
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.38,1.36
20,FRUTAS,PLÁTANOS,460 gms,207,2.99,1.35
21,FRUTAS,PIÑAS,460 gms,186,2.51,1.01
22,FRUTAS,SANDIAS,460 gms,214,1.96,0.91
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.87,1.72
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.47,2.20
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.67,0.95
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.79,1.19
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.17,1.00
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.52,3.93
29,AZÚCAR,AZÚCAR,460 gms,409,3.17,2.82
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.97,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.46,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.71,3.90
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.47,2.35
