no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.02,1.76
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.72,1.35
3,CEREALES,PAN FRANCÉS,460 gms,173,7.42,2.79
4,CEREALES,PAN DULCE,460 gms,216,7.04,3.31
5,CEREALES,FIDEOS,230 gms,62,4.43,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.50,13.73
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.21,6.03
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.72,3.45
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.35,3.94
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,11.93,3.97
11,CARNES,EMBUTIDOS,460 gms,61,12.59,1.67
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.98,2.33
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.98,3.01
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.19,1.56
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.88,1.78
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,13.07,2.66
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.15,2.19
18,FRUTAS,AGUACATES,460 gms,104,7.96,1.80
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.45,1.40
20,FRUTAS,PLÁTANOS,460 gms,207,2.73,1.23
21,FRUTAS,PIÑAS,460 gms,186,2.49,1.01
22,FRUTAS,SANDIAS,460 gms,214,1.86,0.87
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.58,1.61
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.54,2.26
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.25,0.87
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,4.28,1.34
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,4.54,1.09
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.67,4.02
29,AZÚCAR,AZÚCAR,460 gms,409,3.19,2.84
30,MISCELÁNEA,INCAPARINA,460 gms,53,9.13,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.41,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.79,0.78
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.85,3.91
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.05,2.49
