no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.19,1.82
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.74,1.36
3,CEREALES,PAN FRANCÉS,460 gms,173,7.37,2.77
4,CEREALES,PAN DULCE,460 gms,216,6.98,3.28
5,CEREALES,FIDEOS,230 gms,62,4.43,1.19
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.58,14.04
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.16,6.02
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.55,3.41
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.26,3.92
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.01,3.99
11,CARNES,EMBUTIDOS,460 gms,61,12.66,1.68
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.93,2.33
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,12.05,3.02
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.46,1.58
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.84,1.77
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,14.2,2.89
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.14,2.19
18,FRUTAS,AGUACATES,460 gms,104,8.65,1.96
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.39,1.36
20,FRUTAS,PLÁTANOS,460 gms,207,2.76,1.24
21,FRUTAS,PIÑAS,460 gms,186,2.64,1.07
22,FRUTAS,SANDIAS,460 gms,214,1.8,0.84
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.57,1.61
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.7,2.4
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.21,0.86
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,4.89,1.53
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,4.5,1.08
28,LEGUMINOSAS,FRIJÓL,460 gms,277,7.05,4.25
29,AZÚCAR,AZÚCAR,460 gms,409,3.23,2.87
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,53,9.16,1.06
31,MISCELÁNEA,SAL,115 gms,45,0.4,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.89,0.79
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.89,3.92
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.04,2.49
