no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.26,1.84
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.84,1.37
3,CEREALES,PAN FRANCÉS,460 gms,173,7.33,2.76
4,CEREALES,PAN DULCE,460 gms,216,7.06,3.32
5,CEREALES,FIDEOS,230 gms,62,4.48,1.21
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,1804,3.59,14.08
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.1,6.01
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,15.57,3.42
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.27,3.92
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.05,4.01
11,CARNES,EMBUTIDOS,460 gms,61,12.67,1.68
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.98,2.33
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,12.08,3.03
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.38,1.58
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.88,1.78
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,14.07,2.87
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.13,2.19
18,FRUTAS,AGUACATES,460 gms,104,8.56,1.94
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.49,1.42
20,FRUTAS,PLÁTANOS,460 gms,207,2.76,1.24
21,FRUTAS,PIÑAS,460 gms,186,2.64,1.07
22,FRUTAS,SANDIAS,460 gms,214,1.78,0.83
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.7,1.66
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,3.48,3.09
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.11,0.84
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,4.89,1.53
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.67,1.12
28,LEGUMINOSAS,FRIJÓL,460 gms,277,7.29,4.39
29,AZÚCAR,AZÚCAR,460 gms,409,3.24,2.88
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,53,9.11,1.05
31,MISCELÁNEA,SAL,115 gms,45,0.4,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.97,0.79
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,42.91,3.92
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,10.02,2.48
