no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,169,5.55,2.04
2,CEREALES,AVENA DE TODA CLASE,460 gms,51,12.59,1.40
3,CEREALES,PAN FRANCÉS,460 gms,184,7.20,2.88
4,CEREALES,PAN DULCE,460 gms,226,6.79,3.34
5,CEREALES,PASTAS DE TODOS LOS TIPOS,230 gms,65,4.61,1.30
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,861",3.41,13.80
7,CARNES,CARNE DE RES SIN HUESO,460 gms,107,27.17,6.31
8,CARNES,CARNE DE RES CON HUESO,460 gms,105,15.62,3.58
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,93,20.32,4.12
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,159,11.76,4.05
11,CARNES,EMBUTIDOS,460 gms,64,13.01,1.81
12,LÁCTEOS,LECHE EN POLVO,460 gms,32,37.00,2.54
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,266,11.86,3.16
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,32,22.89,1.62
15,LÁCTEOS,CREMA FRESCA,250 ml,47,9.96,1.88
16,HUEVOS,HUEVOS DE GALLINA,648 gms,138,13.30,2.83
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,129,13.26,2.27
18,FRUTAS,AGUACATES,460 gms,106,8.12,1.88
19,FRUTAS,BANANOS/GUINEOS,460 gms,268,2.53,1.47
20,FRUTAS,PLÁTANOS,460 gms,214,2.84,1.32
21,FRUTAS,PIÑAS,460 gms,191,2.57,1.07
22,FRUTAS,SANDIAS,460 gms,222,2.17,1.05
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,170,4.98,1.84
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,429,2.64,2.46
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,98,5.38,1.15
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,151,4.15,1.36
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,115,4.49,1.13
28,LEGUMINOSAS,FRIJÓL,460 gms,286,7.44,4.63
29,AZÚCAR,AZÚCAR,460 gms,429,3.21,2.99
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,57,9.16,1.13
31,MISCELÁNEA,SAL,115 gms,45,0.40,0.16
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,15,14.18,0.90
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,43,42.60,3.99
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,260,10.09,2.62
