no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,169,5.58,2.05
2,CEREALES,AVENA DE TODA CLASE,460 gms,51,12.47,1.39
3,CEREALES,PAN FRANCÉS,460 gms,184,7.2,2.88
4,CEREALES,PAN DULCE,460 gms,226,6.82,3.36
5,CEREALES,PASTAS DE TODOS LOS TIPOS,230 gms,65,4.6,1.3
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,1861,3.45,13.96
7,CARNES,CARNE DE RES SIN HUESO,460 gms,107,27.26,6.34
8,CARNES,CARNE DE RES CON HUESO,460 gms,105,15.74,3.6
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,93,20.54,4.17
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,159,12.07,4.16
11,CARNES,EMBUTIDOS,460 gms,64,12.76,1.77
12,LÁCTEOS,LECHE EN POLVO,460 gms,32,36.69,2.52
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,266,11.87,3.16
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,32,24.21,1.71
15,LÁCTEOS,CREMA FRESCA,250 ml,47,9.83,1.85
16,HUEVOS,HUEVOS DE GALLINA,648 gms,138,12.51,2.66
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,129,13.35,2.29
18,FRUTAS,AGUACATES,460 gms,106,7.86,1.82
19,FRUTAS,BANANOS/GUINEOS,460 gms,268,2.55,1.48
20,FRUTAS,PLÁTANOS,460 gms,214,2.85,1.33
21,FRUTAS,PIÑAS,460 gms,191,2.53,1.05
22,FRUTAS,SANDIAS,460 gms,222,1.9,0.92
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,170,5.11,1.89
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,429,2.72,2.53
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,98,4.33,0.93
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,151,4.19,1.37
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,115,4.58,1.15
28,LEGUMINOSAS,FRIJÓL,460 gms,286,7.29,4.53
29,AZÚCAR,AZÚCAR,460 gms,429,3.31,3.08
30,MISCELÁNEA,PREPARACION NUTRICIONAL A BASE DE MAÍZ Y SOYA,460 gms,57,9.1,1.13
31,MISCELÁNEA,SAL,115 gms,45,0.35,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,15,14.23,0.9
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,43,42.45,3.98
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,260,10.09,2.62
