Category,Product,Kcal Per Person,Grams Monthly,Monthly Cost 1,Monthly Cost 2
Granos básicos,Arroz corriente,66.72,555.97,10.29,10.22
Granos básicos,Arroz precocido,22.25,175.63,3.42,3.40
Pan y cereales,Pan francés,150.07,1625.32,32.95,33.06
Pan y cereales,Pan dulce,135.95,1111.31,21.58,21.90
Pan y cereales,Galletas dulces,6.28,39.92,1.89,1.89
Pan y cereales,Tortillas frescas,564.27,8022.73,86.27,86.27
Pan y cereales,Cereales de bolsa o caja,12.09,101.64,4.98,4.94
Pan y cereales,Espagueti,25.30,204.55,4.30,4.30
Pan y cereales,Fideos en todas sus formas (Excepto macarrones y espagueti),22.51,175.85,3.75,3.78
Leguminosas,Frijoles negros secos,99.24,873.11,14.42,14.42
Leguminosas,Frijoles preparados procesados y condimentados (enlatados o empaquetados),14.70,264.12,8.30,8.20
Vegetales (verduras u hortalizas),Lechuga achicoria y rugula fresca o refrigerada,0.58,130.58,1.33,1.34
Vegetales (verduras u hortalizas),Apio,0.30,64.09,0.88,0.91
Vegetales (verduras u hortalizas),Cilantro perejil y hierbabuena,0.51,84.29,2.09,2.12
Vegetales (verduras u hortalizas),Macuy/Hierba mora/Quilete,2.06,150.44,2.33,2.42
Vegetales (verduras u hortalizas),Chile pimiento fresco,0.84,99.43,2.09,2.19
Vegetales (verduras u hortalizas),Pepinos y pepinillos frescos o refrigerados,1.23,253.62,2.49,2.69
Vegetales (verduras u hortalizas),Tomate fresco,9.33,1708.07,23.70,24.08
Vegetales (verduras u hortalizas),Güisquil,2.91,597.18,6.69,7.58
Vegetales (verduras u hortalizas),Zanahorias,5.24,430.98,6.09,6.98
Vegetales (verduras u hortalizas),Cebollas,9.96,820.89,10.40,10.40
Vegetales (verduras u hortalizas),Verduras frescas o refrigeradas limpias y cortadas (excluye las ensaladas),3.11,129.52,2.03,2.09
Raíces y tubérculos,Papas,22.86,1187.34,15.69,15.43
Frutas,Aguacates frescos,14.19,359.51,11.23,11.34
Frutas,Bananos frescos,11.27,593.41,5.35,5.45
Frutas,Plátanos frescos,21.65,818.88,8.30,8.30
Frutas,Papayas frescas,3.47,390.44,3.86,3.88
Frutas,Limones y limas frescas,2.13,253.45,4.41,4.85
Frutas,Manzanas frescas,1.96,111.70,2.54,2.53
Azucares,Azúcar de caña blanca,153.47,1183.55,11.36,11.36
Azucares,Azúcar de caña morena,15.31,120.89,1.12,1.12
Grasas y aceites,Aceite vegetal mixtos,63.58,215.77,5.07,5.02
Grasas y aceites,Margarina vegetal regular,8.37,46.78,1.82,1.82
Leche y productos lácteos,Leche entera líquida industrializada,7.35,361.69,4.97,4.92
Leche y productos lácteos,Crema artesanal,7.47,65.87,2.90,2.90
Leche y productos lácteos,Crema industrializada,10.49,92.54,4.07,4.07
Leche y productos lácteos,Queso fresco (Incluye el queso supercremoso),27.30,273.88,16.67,16.67
Carnes Aves Pescados y Huevos,Carne de res molida,8.27,140.96,10.25,10.40
Carnes Aves Pescados y Huevos,Carne de res para asar (con y sin hueso),8.92,183.87,14.68,14.99
Carnes Aves Pescados y Huevos,Carne de res sin hueso (posta),9.10,167.14,12.52,12.89
Carnes Aves Pescados y Huevos,Carne de res con hueso para cocido,6.88,218.20,10.57,10.57
Carnes Aves Pescados y Huevos,Posta de cerdo sin hueso,10.99,162.08,8.57,8.57
Carnes Aves Pescados y Huevos,Carne de pollo blanco,30.26,620.91,21.75,21.20
Carnes Aves Pescados y Huevos,Carne de pollo amarillo,63.84,1309.93,42.13,42.13
Carnes Aves Pescados y Huevos,Salchichas y productos similares de carne,22.86,221.90,9.53,9.55
Carnes Aves Pescados y Huevos,Jamón (pollo res cerdo mixto etc.),3.33,81.77,5.27,5.20
Carnes Aves Pescados y Huevos,Longanizas y chorizos (de todo tipo),16.06,170.66,8.21,8.27
Carnes Aves Pescados y Huevos,Huevos de gallina de granja,80.84,1927.32,53.00,52.64
Bebidas no alcohólicas,Jugos de frutas líquidos,9.11,594.10,8.28,8.28
Bebidas no alcohólicas,Jugos de frutas en polvo,0.68,9.30,0.93,0.93
Bebidas no alcohólicas,Café molido,2.23,29.62,2.79,3.07
Bebidas no alcohólicas,Café instantáneo,2.52,21.42,5.83,5.83
Bebidas no alcohólicas,Agua purificada,0.00,14830.24,103.81,103.81
Bebidas no alcohólicas,Gaseosas,47.80,3875.88,28.68,28.60
Productos alimenticios N.E.P.,Sopas instantáneas (Vaso y bolsa),6.01,147.31,11.97,11.97
Productos alimenticios N.E.P.,Sal,0.00,132.34,0.33,0.33
Productos alimenticios N.E.P.,Consomé,2.18,24.46,2.04,2.04
Productos alimenticios N.E.P.,Salsa de tomate (Ranchera Queso etc.),6.75,85.48,3.80,3.80
Productos alimenticios N.E.P.,Mayonesa,15.11,66.67,2.96,2.96
Productos alimenticios N.E.P.,Bases para sopas,0.58,36.42,2.00,2.00
Productos alimenticios N.E.P.,Snacks (excluye papalinas plataninas yucas malangas etc.),9.58,53.45,3.43,3.34
Comidas y bebidas fuera del hogar,Desayuno o cena continental (bebida y dos acompañamientos elaborados),31.45,771.36,45.33,45.33
Comidas y bebidas fuera del hogar,Almuerzo o cena simple (bebida carne de pollo y acompañamiento) excluye gaseosa,83.21,2040.81,110.31,110.31
Comidas y bebidas fuera del hogar,Tamales y paches,22.76,558.23,16.75,16.75
Comidas y bebidas fuera del hogar,Piezas de pollo individual o entero (sin acompañamiento),17.31,424.54,24.34,24.34
Comidas y bebidas fuera del hogar,Atoles,7.07,173.48,2.69,2.69
