no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.46,1.33
3,CEREALES,PAN FRANCÉS,460 gms,173,7.11,2.67
4,CEREALES,PAN DULCE,460 gms,216,6.61,3.10
5,CEREALES,FIDEOS,230 gms,62,4.39,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.41,13.37
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,28.28,6.27
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.61,3.65
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.62,3.99
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.45,4.14
11,CARNES,EMBUTIDOS,460 gms,61,12.39,1.64
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.72,2.31
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.34,2.85
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.79,1.60
15,LÁCTEOS,CREMA FRESCA,250 ml,45,10.05,1.81
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,13.08,2.66
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,13.24,2.21
18,FRUTAS,AGUACATES,460 gms,104,7.75,1.75
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.48,1.41
20,FRUTAS,PLÁTANOS,460 gms,207,3.04,1.37
21,FRUTAS,PIÑAS,460 gms,186,2.53,1.02
22,FRUTAS,SANDIAS,460 gms,214,1.97,0.92
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.31,1.52
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.40,2.13
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,3.85,0.79
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.50,1.10
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.07,0.97
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.73,4.05
29,AZÚCAR,AZÚCAR,460 gms,409,3.15,2.80
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.91,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.35,0.14
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.46,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,43.60,3.98
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.40,2.33
