no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.97,1.74
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.07,1.29
3,CEREALES,PAN FRANCÉS,460 gms,173,7.35,2.76
4,CEREALES,PAN DULCE,460 gms,216,6.66,3.13
5,CEREALES,FIDEOS,230 gms,62,4.37,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.61,14.16
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.94,6.20
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.39,3.60
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.33,3.93
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.39,4.12
11,CARNES,EMBUTIDOS,460 gms,61,12.81,1.70
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.95,2.27
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.75,2.95
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.95,1.61
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.85,1.77
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.43,2.53
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.88,2.15
18,FRUTAS,AGUACATES,460 gms,104,7.39,1.67
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.46,1.40
20,FRUTAS,PLÁTANOS,460 gms,207,2.73,1.23
21,FRUTAS,PIÑAS,460 gms,186,2.56,1.04
22,FRUTAS,SANDIAS,460 gms,214,1.93,0.90
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.96,1.75
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,1.97,1.75
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,6.13,1.25
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.04,0.95
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,4.55,1.09
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.53,3.93
29,AZÚCAR,AZÚCAR,460 gms,409,3.16,2.81
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.83,1.02
31,MISCELÁNEA,SAL,115 gms,45,0.38,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.60,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,41.07,3.75
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.27,2.30
