no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,4.99,1.75
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.50,1.33
3,CEREALES,PAN FRANCÉS,460 gms,173,7.26,2.73
4,CEREALES,PAN DULCE,460 gms,216,6.68,3.14
5,CEREALES,FIDEOS,230 gms,62,4.37,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.57,14.00
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.89,6.18
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.38,3.60
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.16,3.90
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.34,4.10
11,CARNES,EMBUTIDOS,460 gms,61,12.74,1.69
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.86,2.26
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.63,2.92
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,24.45,1.65
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.92,1.79
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.44,2.53
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.81,2.14
18,FRUTAS,AGUACATES,460 gms,104,7.66,1.73
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.41,1.37
20,FRUTAS,PLÁTANOS,460 gms,207,2.76,1.24
21,FRUTAS,PIÑAS,460 gms,186,2.51,1.01
22,FRUTAS,SANDIAS,460 gms,214,1.91,0.89
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,5.30,1.87
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.48,2.21
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,6.49,1.33
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,3.48,1.09
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,4.13,0.99
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.57,3.96
29,AZÚCAR,AZÚCAR,460 gms,409,3.15,2.80
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.91,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.67,0.77
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,41.12,3.75
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.38,2.33
