no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.05,1.77
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.17,1.30
3,CEREALES,PAN FRANCÉS,460 gms,173,7.24,2.72
4,CEREALES,PAN DULCE,460 gms,216,6.62,3.11
5,CEREALES,FIDEOS,230 gms,62,4.34,1.17
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.66,14.35
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.81,6.17
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.13,3.54
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.11,3.89
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.53,4.17
11,CARNES,EMBUTIDOS,460 gms,61,12.70,1.68
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,35.78,2.26
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.55,2.90
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.54,1.59
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.93,1.79
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.45,2.54
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.93,2.16
18,FRUTAS,AGUACATES,460 gms,104,8.24,1.86
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.41,1.37
20,FRUTAS,PLÁTANOS,460 gms,207,2.76,1.24
21,FRUTAS,PIÑAS,460 gms,186,2.46,0.99
22,FRUTAS,SANDIAS,460 gms,214,1.99,0.93
23,VERDURAS/ HORTALIZAS,TOMATE,460 gms,162,4.65,1.64
24,VERDURAS/ HORTALIZAS,GÜISQUIL,460 gms,409,2.93,2.61
25,VERDURAS/ HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,6.07,1.24
26,VERDURAS/ HORTALIZAS,PAPAS,460 gms,144,4.29,1.34
27,VERDURAS/ HORTALIZAS,HIERBAS,460 gms,110,3.79,0.91
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.53,3.93
29,AZÚCAR,AZÚCAR,460 gms,409,3.16,2.81
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.98,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.75,0.78
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,41.67,3.80
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.48,2.35
