no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,CEREALES,ARROZ,460 gms,161,5.05,1.77
2,CEREALES,AVENA DE TODA CLASE,460 gms,49,12.45,1.33
3,CEREALES,PAN FRANCÉS,460 gms,173,7.25,2.73
4,CEREALES,PAN DULCE,460 gms,216,6.74,3.16
5,CEREALES,FIDEOS,230 gms,62,4.37,1.18
6,CEREALES,TORTILLAS DE MAÍZ,460 gms,"1,804",3.65,14.31
7,CARNES,CARNE DE RES SIN HUESO,460 gms,102,27.53,6.1
8,CARNES,CARNE DE RES CON HUESO,460 gms,101,16.72,3.67
9,CARNES,CARNE DE CERDO SIN HUESO,460 gms,89,20.1,3.89
10,CARNES,CARNE DE POLLO O GALLINA,460 gms,153,12.39,4.12
11,CARNES,EMBUTIDOS,460 gms,61,12.77,1.69
12,LÁCTEOS,LECHE EN POLVO,460 gms,29,36.27,2.29
13,LÁCTEOS,LECHE LIQUIDA,1000 ml,251,11.66,2.93
14,LÁCTEOS,QUESO FRESCO O DURO,460 gms,31,23.61,1.59
15,LÁCTEOS,CREMA FRESCA,250 ml,45,9.94,1.79
16,HUEVOS,HUEVOS DE GALLINA,648 gms,132,12.38,2.52
17,GRASAS Y ACEITES,ACEITES COMESTIBLES,750 ml,125,12.83,2.14
18,FRUTAS,AGUACATES,460 gms,104,8.44,1.91
19,FRUTAS,BANANOS/GUINEOS,460 gms,262,2.44,1.39
20,FRUTAS,PLÁTANOS,460 gms,207,2.77,1.25
21,FRUTAS,PIÑAS,460 gms,186,2.7,1.09
22,FRUTAS,SANDIAS,460 gms,214,2.04,0.95
23,VERDURAS/HORTALIZAS,TOMATE,460 gms,162,4.64,1.63
24,VERDURAS/HORTALIZAS,GÜISQUIL,460 gms,409,2.3,2.05
25,VERDURAS/HORTALIZAS,CEBOLLA BLANCA SIN TALLO,460 gms,94,4.94,1.01
26,VERDURAS/HORTALIZAS,PAPAS,460 gms,144,3.62,1.13
27,VERDURAS/HORTALIZAS,HIERBAS,460 gms,110,3.62,0.87
28,LEGUMINOSAS,FRIJÓL,460 gms,277,6.56,3.95
29,AZÚCAR,AZÚCAR,460 gms,409,3.17,2.82
30,MISCELÁNEA,INCAPARINA,460 gms,53,8.95,1.03
31,MISCELÁNEA,SAL,115 gms,45,0.39,0.15
32,MISCELÁNEA,SOPAS INSTANTÁNEAS EN VASO,230 gms,13,13.5,0.76
33,MISCELÁNEA,"CAFÉ EN GRANO, MOLIDO, INSTANTANEO",460 gms,42,43.07,3.93
34,MISCELÁNEA,AGUAS GASEOSAS,1000 ml,248,9.52,2.36
