no,categoria,producto,unidad_medida,gramos_hogar_dia,precio_promedio_simple_por_unidad_medida,costo_diario_hogar_4_77_personas
1,Cereales,Arroz,460 gms,169,6.37,2.34
2,Cereales,Avena de toda clase,460 gms,51,13.74,1.53
3,Cereales,Pan francés,460 gms,184,9.5,3.8
4,Cereales,Pan dulce,460 gms,226,8.95,4.4
5,Cereales,Pastas de todos los tipos,230 gms,65,5.48,1.55
6,Cereales,Tortillas de maíz,460 gms,1861,4.82,19.5
7,Carnes,Carne de res sin hueso,460 gms,107,31.66,7.36
8,Carnes,Carne de res con hueso,460 gms,105,19.47,4.46
9,Carnes,Carne de cerdo sin hueso,460 gms,93,23.19,4.7
10,Carnes,Carne de pollo o gallina,460 gms,159,14.9,5.14
11,Carnes,Embutidos,460 gms,64,14.9,2.07
12,Lácteos,Leche en polvo,460 gms,32,43.19,2.97
13,Lácteos,Leche líquida,1000 ml,266,13.35,3.56
14,Lácteos,Queso fresco o duro,460 gms,32,27.4,1.93
15,Lácteos,Crema fresca,250 ml,47,10.79,2.04
16,Huevos,Huevos de gallina,648 gms,138,16.36,3.48
17,Grasas y aceites,Aceites comestibles,750 ml,129,19.21,3.29
18,Frutas,Aguacates,460 gms,106,10.41,2.4
19,Frutas,Bananos/guineos,460 gms,268,2.67,1.55
20,Frutas,Plátanos,460 gms,214,3.52,1.64
21,Frutas,Piñas,460 gms,191,2.7,1.12
22,Frutas,Sandias,460 gms,222,2.35,1.13
23,Verduras/hortalizas,Tomate,460 gms,170,5.74,2.12
24,Verduras/hortalizas,Güisquil,460 gms,429,2.71,2.52
25,Verduras/hortalizas,Cebolla blanca sin tallo,460 gms,98,4.74,1.01
26,Verduras/hortalizas,Papas,460 gms,151,5.28,1.73
27,Verduras/hortalizas,Hierbas,460 gms,115,5.75,1.44
28,Leguminosas,Frijol,460 gms,286,9.05,5.63
29,Azúcar,Azúcar,460 gms,429,3.87,3.61
30,Miscelánea,Preparación nutricional a base de maíz y soya,460 gms,57,10.98,1.36
31,Miscelánea,Sal,115 gms,45,0.37,0.14
32,Miscelánea,Sopas instantáneas en vaso,230 gms,15,16.32,1.03
33,Miscelánea,"Café en grano, molido, instantáneo",460 gms,43,45.14,4.23
34,Miscelánea,Aguas gaseosas,1000 ml,260,10.96,2.85
