Category,Product,Kcal Per Person,Grams Monthly,Monthly Cost 1,Monthly Cost 2
Granos básicos,Arroz corriente,61.36,511.32,9.46,9.40
Granos básicos,Arroz precocido,11.88,93.77,1.83,1.82
Granos básicos,Maíz blanco,288.00,2367.09,11.73,11.73
Granos básicos,Harina de maíz,44.92,373.28,5.37,5.37
Granos básicos,Harina para atoles (incluye Incaparina),17.36,139.62,3.41,3.43
Pan y cereales,Pan francés,36.85,399.08,8.09,8.12
Pan y cereales,Pan dulce,100.44,821.01,15.94,16.18
Pan y cereales,Galletas dulces,7.78,49.45,2.34,2.34
Pan y cereales,Tortillas frescas,645.44,9176.80,98.68,98.68
Pan y cereales,Avena/mosh,9.66,74.48,2.46,2.46
Pan y cereales,Espagueti,16.27,131.54,2.76,2.76
Pan y cereales,Fideos en todas sus formas (Excepto macarrones y espagueti),25.45,198.80,4.24,4.27
Leguminosas,Frijoles negros secos,94.58,832.05,13.75,13.75
Leguminosas,Frijoles preparados procesados y condimentados (enlatados o empaquetados),6.86,123.24,3.87,3.83
Vegetales (verduras u hortalizas),Repollo fresco o refrigerado,2.22,333.46,2.63,3.08
Vegetales (verduras u hortalizas),Cilantro perejil y hierbabuena,0.32,53.75,1.33,1.35
Vegetales (verduras u hortalizas),Macuy/Hierba mora/Quilete,2.75,200.87,3.11,3.23
Vegetales (verduras u hortalizas),Chile pimiento fresco,0.52,61.59,1.29,1.35
Vegetales (verduras u hortalizas),Pepinos y pepinillos frescos o refrigerados,0.73,149.59,1.47,1.59
Vegetales (verduras u hortalizas),Tomate fresco,7.37,1350.05,18.73,19.03
Vegetales (verduras u hortalizas),Güisquil,2.85,584.78,6.55,7.43
Vegetales (verduras u hortalizas),Zanahorias,4.28,351.72,4.97,5.70
Vegetales (verduras u hortalizas),Cebollas,8.01,660.33,8.36,8.36
Raíces y tubérculos,Papas,18.68,970.59,12.83,12.61
Frutas,Aguacates frescos,5.93,150.35,4.70,4.74
Frutas,Bananos frescos,7.12,374.88,3.38,3.45
Frutas,Plátanos frescos,11.47,433.76,4.39,4.39
Frutas,Limones y limas frescas,0.75,89.28,1.55,1.71
Frutas,Naranjas frescas,2.79,243.84,2.55,2.62
Frutas,Manzanas frescas,1.53,87.41,1.99,1.98
Azucares,Azúcar de caña blanca,180.59,1392.71,13.37,13.37
Azucares,Dulces en general (incluye paletas bombones gomitas),0.80,6.12,0.45,0.45
Grasas y aceites,Aceite vegetal mixtos,73.91,250.83,5.90,5.83
Grasas y aceites,Margarina vegetal regular,2.82,15.78,0.61,0.61
Leche y productos lácteos,Leche en polvo,11.04,66.77,7.34,7.37
Leche y productos lácteos,Crema artesanal,4.85,42.81,1.88,1.88
Leche y productos lácteos,Queso fresco (Incluye el queso supercremoso),22.92,229.98,14.00,14.00
Carnes Aves Pescados y Huevos,Carne de res sin hueso (posta),7.23,132.83,9.95,10.24
Carnes Aves Pescados y Huevos,Carne de res con hueso para cocido,7.70,244.14,11.83,11.83
Carnes Aves Pescados y Huevos,Carne de pollo blanco,11.44,234.68,8.22,8.01
Carnes Aves Pescados y Huevos,Carne de pollo amarillo,47.78,980.34,31.53,31.53
Carnes Aves Pescados y Huevos,Salchichas y productos similares de carne,14.95,145.13,6.23,6.25
Carnes Aves Pescados y Huevos,Longanizas y chorizos (de todo tipo),8.65,91.95,4.42,4.46
Carnes Aves Pescados y Huevos,Pescado entero fresco refrigerado o congelado,2.99,176.04,8.98,9.31
Carnes Aves Pescados y Huevos,Huevos de gallina de granja,49.48,1179.69,32.44,32.22
Bebidas no alcohólicas,Jugos de frutas líquidos,9.93,647.36,9.02,9.02
Bebidas no alcohólicas,Café molido,3.84,50.99,4.80,5.28
Bebidas no alcohólicas,Café instantáneo,1.48,12.61,3.43,3.43
Bebidas no alcohólicas,Agua purificada,0.00,5069.10,35.48,35.48
Bebidas no alcohólicas,Gaseosas,45.69,3704.42,27.41,27.34
Productos alimenticios N.E.P.,Sopas instantáneas (Vaso y bolsa),9.02,165.33,13.43,13.43
Productos alimenticios N.E.P.,Sal,0.00,197.16,0.49,0.49
Productos alimenticios N.E.P.,Consomé,2.71,30.47,2.54,2.54
Productos alimenticios N.E.P.,Salsa de tomate (Ranchera Queso etc.),5.05,63.93,2.84,2.84
Productos alimenticios N.E.P.,Bases para sopas,0.57,35.46,1.95,1.95
Productos alimenticios N.E.P.,Snacks (excluye papalinas plataninas yucas malangas etc.),9.23,51.46,3.30,3.22
Comidas y bebidas fuera del hogar,Desayuno o cena continental (bebida y dos acompañamientos elaborados),59.99,1079.88,63.46,63.46
Comidas y bebidas fuera del hogar,Almuerzo o cena simple (bebida carne de pollo y acompañamiento) excluye gaseosa,96.76,1767.47,95.54,95.54
Comidas y bebidas fuera del hogar,Tamales y paches,19.31,354.39,10.63,10.63
Comidas y bebidas fuera del hogar,Piezas de pollo individual o entero (sin acompañamiento),17.11,316.49,18.15,18.15
