"codigo","nombre","energia_kcal","agua_pct","fraccion_comestible_pct","proteina_g","grasa_total_g","ag_sat_g","ag_mono_g","ag_poli_g","colesterol_mg","carbohidratos_g","azucares_g","ceniza_g","fibra_dietetica_g","calcio_mg","hierro_mg","magnesio_mg","fosforo_mg","potasio_mg","sodio_mg","zinc_mg","cobre_mg","selenio_mcg","vitamina_c_mg","tiamina_mg","riboflavina_mg","niacina_mg","ac_pantotenico_mg","vitamina_b6_mg","ac_folico_mcg","folato_alimentos_mcg","folato_fde_mcg","vitamina_b12_mcg","vitamina_a_rae_mcg","retinol_mcg","b_carotenos_mcg","vitamina_e_mg","vitamina_d_mcg","vitamina_k_mcg"
"1001","CREMA, ESPESA","340","58","1","2.84","36.08","23.03","9.1","1.57","113","2.74","2.92","0","0.53","66","0.1","7","58","95","27","0.24","0.01","3","1","0.02","0.19","0.06","0.5","0.04","0","4","4","0.16","411","405","72","0.92","1.6","3.2"
"1002","CREMA, RALA","292","64","1","2.17","30.91","19.34","9.09","0.88","111","2.96","2.96","0","0.46","69","0.03","7","61","97","34","0.25","0.01","0.5","1","0.02","0.13","0.04","0.26","0.03","0","4","4","0.2","279","274","60","0.88","0.6","2.7"
"1003","CREMA, SUSTITUTO NO LACTEO, EN POLVO","529","3","1","2.48","32.92","19.15","9.8","0.41","0","59.29","7.77","0","2.34","2","0.26","1","288","669","124","0.07","0.02","0","0","0","0","0","0.12","0","0","0","0","0","0","0","0","1.26","0","1.7"
"1004","LECHE DE BURRA, FLUIDA","43","90","1","1.7","1.2",,,,,"6.5",,"0","0.4","126","0.2",,"57",,,,,,"2","0.02","0.09","0.1",,,,,,,"6",,,,,
"1005","LECHE DE CABRA, FLUIDA, C/VIT D","69","87","1","3.56","4.14","2.67","1.11","0.15","11","4.45","4.45","0","0.82","134","0.05","14","111","204","50","0.3","0.05","1.4","1","0.05","0.14","0.28","0.31","0.05","0","1","1","0.07","57","56","7","0.07","1.3","0.3"
"1007","LECHE HUMANA, FLUIDA","45","88","1","1","1.5","1.01","0.74","0.19","4","6.9",,"0",,"32","0.1","3",,"51","17","0.17",,,"5","0.01","0.04","0.2",,"0.01",,"5","5","0.04","64",,,,,
"1008","LECHE CHOCOLATADA, SEMIDESCREMADA, FLUIDA","76","82","1","2.99","1.9","1.18","0.46","0.09","8","12.13","9.55","0.7","0.81","109","0.24","14","102","169","66","0.39","0.08","3.4","0","0.05","0.18","0.16","0.54","0.02","0","2","2","0.33","64","63","11","0.04","1.2","0.2"
"1009","LECHE CONDENSADA, C/AZUCAR, ENLATADA","321","27","1","7.91","8.7","5.49","2.43","0.34","34","54.4","54.4","0","1.83","284","0.19","26","253","371","127","0.94","0.02","14.8","3","0.09","0.42","0.21","0.75","0.05","0","11","11","0.44","74","73","14","0.16","0.2","0.6"
"1010","LECHE SEMIDESCREMADA (2% GRASA), FLUIDA, C/ VIT A& D","50","89","1","3.3","1.98","1.26","0.56","0.07","8","4.8","5.06","0","0.71","120","0.02","11","92","140","47","0.48","0.01","2.5","0","0.04","0.19","0.09","0.36","0.04","0","5","5","0.53","55","55","4","0.03","1.2","0.2"
"1011","LECHE DESCREMADA, EN POLVO, S/VIT A&D","362","3","1","36.16","0.77","0.5","0.2","0.03","20","51.98","51.98","0","7.93","1257","0.32","110","968","1794","535","4.08","0.04","27.3","7","0.42","1.55","0.95","3.57","0.36","0","50","50","4.03","6","6","1","0","0","0.1"
